"Date","Number Slaughtered ;  CATTLE (excl. calves) ;  Total (State) ;...2","Number Slaughtered ;  CATTLE (excl. calves) ;  New South Wales ;...3","Number Slaughtered ;  CATTLE (excl. calves) ;  Victoria ;...4","Number Slaughtered ;  CATTLE (excl. calves) ;  Queensland ;...5","Number Slaughtered ;  CATTLE (excl. calves) ;  South Australia ;...6","Number Slaughtered ;  CATTLE (excl. calves) ;  Western Australia ;...7","Number Slaughtered ;  CATTLE (excl. calves) ;  Tasmania ;...8","Number Slaughtered ;  CATTLE (excl. calves) ;  Northern Territory ;","Number Slaughtered ;  CATTLE (excl. calves) ;  Australian Capital Territory ;"
2001-06-01,"2079.9","485","362.1","1008.8","75.5","97.7","49.5","1.4","0"
2001-09-01,"2029.4","440.3","332.7","1058.0999999999999","72.2","92.9","31.8","1.4","0"
2001-12-01,"1786","427.7","364.5","785.1","81","89","37.200000000000003","1.4","0"
2002-03-01,"1720.9","447","367","680","90.4","95.5","39.6","1.4","0"
2002-06-01,"2087.9","497.5","367","990.9","88.9","90.8","51.3","1.4","0"
2002-09-01,"2077.6999999999998","479.7","384.2","1003.7","80.099999999999994","95.7","32.9","1.4","0"
2002-12-01,"2082.3000000000002","510.9","435.7","869.5","93.4","124.3","47.2","1.3","0"
2003-03-01,"1891.9","486","419.8","717.3","95.8","114.5","57.2","1.3","0"
2003-06-01,"2030.9","453.9","410.7","924.8","89.8","94.8","55.5","1.4","0"
2003-09-01,"1949.1","399.9","357.8","980.5","68.599999999999994","102.2","38.700000000000003","1.3","0"
2003-12-01,"1934.2","419.7","378.3","864.6","95.6","125.5","49.1","1.3","0"
2004-03-01,"1848.8","399.2","413.9","760.1","93.5","121.7","59","1.3","0"
2004-06-01,"2020.8","397.3","406.7","959","85.2","113.4","57.9","1.4","0"
2004-09-01,"2089.3000000000002","441.8","375.1","1030.9000000000001","72","122","46.1","1.4","0"
2004-12-01,"1934.6","410.7","381.6","865.1","98.9","126.6","50.3","1.3","0"
2005-03-01,"1815.2","396.8","370.6","770.6","95.3","126.1","54.5","1.3","0"
2005-06-01,"2146.5","451.1","388.4","1023.8","92.9","135.80000000000001","53.1","1.4","0"
2005-09-01,"1874.7","361.3","312.5","989.8","60.3","106.1","43.4","1.4","0"
2005-12-01,"1806.9","380.9","356.1","819.2","89","114.4","45.9","1.3","0"
2006-03-01,"1883.6","409.4","367.2","844.3","99.2","108.3","53.9","1.3","0"
2006-06-01,"2014.8","438.7","345.5","993.6","76.3","105.2","54.1","1.3","0"
2006-09-01,"1996","397.8","332","1045.5","68","106.2","45.1","1.3","0"
2006-12-01,"2091.1","444.2","430.9","948.4","96.1","115.1","55","1.2","0"
2007-03-01,"2033.1","457.7","432.8","869.9","98.2","116.4","56.8","1.2","0"
